SYMB,MM/DD/YY,NAV
CUUR0000AA0,05/01/1922,50.0
CUUR0000AA0,04/01/1922,50.0
CUUR0000AA0,03/01/1922,50.0
CUUR0000AA0,02/01/1922,50.6
CUUR0000AA0,01/01/1922,50.7
CUUR0000AA0,12/01/1921,51.8
CUUR0000AA0,11/01/1921,52.1
CUUR0000AA0,10/01/1921,52.4
CUUR0000AA0,09/01/1921,52.5
CUUR0000AA0,08/01/1921,53.1
CUUR0000AA0,07/01/1921,52.9
CUUR0000AA0,06/01/1921,52.8
CUUR0000AA0,05/01/1921,53.1
CUUR0000AA0,04/01/1921,54.1
CUUR0000AA0,03/01/1921,54.8
CUUR0000AA0,02/01/1921,55.2
CUUR0000AA0,01/01/1921,57.0
CUUR0000AA0,12/01/1920,58.0
CUUR0000AA0,11/01/1920,59.3
CUUR0000AA0,10/01/1920,59.7
CUUR0000AA0,09/01/1920,60.0
CUUR0000AA0,08/01/1920,60.7
CUUR0000AA0,07/01/1920,62.3
CUUR0000AA0,06/01/1920,62.7
CUUR0000AA0,05/01/1920,61.8
CUUR0000AA0,04/01/1920,60.8
CUUR0000AA0,03/01/1920,59.1
CUUR0000AA0,02/01/1920,58.5
CUUR0000AA0,01/01/1920,57.8
CUUR0000AA0,12/01/1919,56.7
CUUR0000AA0,11/01/1919,55.5
CUUR0000AA0,10/01/1919,54.2
CUUR0000AA0,09/01/1919,53.3
CUUR0000AA0,08/01/1919,53.0
CUUR0000AA0,07/01/1919,52.1
CUUR0000AA0,06/01/1919,50.7
CUUR0000AA0,05/01/1919,50.6
CUUR0000AA0,04/01/1919,49.9
CUUR0000AA0,03/01/1919,49.0
CUUR0000AA0,02/01/1919,48.4
CUUR0000AA0,01/01/1919,49.5
CUUR0000AA0,12/01/1918,49.4
CUUR0000AA0,11/01/1918,48.7
CUUR0000AA0,10/01/1918,47.9
CUUR0000AA0,09/01/1918,47.1
CUUR0000AA0,08/01/1918,46.0
CUUR0000AA0,07/01/1918,45.2
